"","x"
"562","FDX1"
"563","NKX2.5"
"564","APOA1A"
"565","PTTG1IPB"
"566","GADD45BA"
"567","DLA"
"568","ASPH"
"569","ZGC:158291"
"570","NPY"
"571","MYH9A"
"572","AKAP12B"
"573","TLX2"
"574","CYP27C1"
"575","MAPKAPK3"
"576","RXRAA"
"577","AP1S3B"
"578","HER1"
"579","IRX1B"
"580","NEB"
"581","USP28"
"582","LCP1"
"583","KPNA7"
"584","ATP2B1A"
"585","SDPRB"
"586","PVALB2"
"587","BMP15"
"588","CLDN7B"
"589","WNT11"
"590","CSRP2"
"591","PRDM12B"
"592","FUT9D"
"593","TMEM173"
"594","ATP1B1B"
"595","NMT1B"
"596","ZGC:56231"
"597","HOXB7A"
"598","AFAP1L2"
"599","MUSK"
"600","HHLA2B.2"
"601","SI:DKEY-12L12.1"
"602","CALM1A"
"603","CASP8AP2"
"604","POLR3GLA"
"605","PITPNC1"
"606","CHGA"
"607","HABP4"
"608","ALDOAB"
"609","TTC13"
"610","H1FX"
"611","PLECA"
"612","FAM117AB"
"613","SI:CH211-134A4.5"
"614","FXYD1"
"615","HER9"
"616","AIM1B"
"617","HOXB6B"
"618","GBX2"
"619","P4HA2"
"620","SI:DKEY-11C5.14"
"621","FOXA1"
"622","ELOVL7A"
"623","HISTH1L"
"624","AKIP1"
"625","SI:CH211-59O9.9"
"626","ZGC:100868"
"627","TNFAIP8L2B"
"628","SI:CH211-152F23.5"
"629","RBM24A"
"630","PAX8"
"631","WNT8A"
"632","EXD2"
"633","WU:FJ16A03"
"634","PLOD2"
"635","TEKT1"
"636","FADD"
"637","CCDC50"
"638","TDGF1"
"639","SNRPD3"
"640","HOXC3A"
"641","SI:CH211-213D14.2"
"642","BX569789.3"
"643","PABPC1L"
"644","CTGFA"
"645","BARHL2"
"646","ADIPOR2"
"647","LRRC17"
"648","BHLHA15"
"649","FABP1B.1"
"650","SI:CH73-28H20.1"
"651","PCK2"
"652","MYB"
"653","SMARCA2"
"654","TBX6L"
"655","SULT2ST1"
"656","GABRA1"
"657","S100U"
"658","SI:DKEY-193P11.2"
"659","CHMP4C"
"660","RBFOX1L"
"661","CSF1A"
"662","SI:DKEY-221J11.3"
"663","FOXD1"
"664","UNCX"
"665","CHMP2BB"
"666","BAG4"
"667","IRX3A"
"668","GATA2A"
"669","HN1B"
"670","CCDC173"
"671","TXN"
"672","SEBOX"
"673","CPN1"
"674","CYP26A1"
"675","ARL4AA"
"676","PAK1"
"677","FGF3"
"678","SI:CH211-69B7.6"
"679","SI:DKEY-184P9.7"
"680","ZFP36"
"681","FOXI3B"
"682","NFKBIAA"
"683","SI:DKEY-13I19.8"
"684","SI:CH211-147D7.5"
"685","FOXC1A"
"686","ISL1"
"687","H3F3A"
"688","FBP1B"
"689","ATP1B3B"
"690","SFRP1A"
"691","FOXJ1A"
"692","APOPT1"
"693","HER13"
"694","RAB32A"
"695","ZGC:91849"
"696","MXTX2"
"697","CEBPA"
"698","KLHL20"
"699","APOA2"
"700","SI:CH211-163L21.7"
"701","DMBX1A"
"702","SYCP1"
"703","TBP"
"704","SI:CH211-11K18.4"
"705","CT030712.1"
"706","HOXD9A"
"707","VOX"
"708","SHISA2"
"709","LBX1A"
"710","BAIAP2L1A"
"711","SI:CH73-173M3.3"
"712","SI:CH73-303B9.1"
"713","CFL1L"
"714","SI:DKEY-204F11.64"
"715","RIBC1"
"716","NPPB"
"717","ZGC:195245"
"718","AQP3A"
"719","GOLGA1"
"720","SLC6A7"
"721","THOC2"
"722","EMILIN1A"
"723","PRSS60.1"
"724","LBX1B"
"725","SI:DKEY-176G1.6"
"726","SERPINB1L4"
"727","DTNBP1A"
"728","SNAI1A"
"729","DYNLL1"
"730","NKX6.2"
"731","FOXD5"
"732","WIPF3"
"733","MKRN1"
"734","PTGS2A"
"735","CABZ01059415.2"
"736","LMO4A"
"737","HSPB1"
"738","SI:CH73-304F21.2"
"739","ST8SIA7.1"
"740","HMX4"
"741","SI:CH211-198C19.3"
"742","ZAR1L"
"743","SUB1B"
"744","BAMBIA"
"745","FBXO45"
"746","ZGC:153284"
"747","SP8A"
"748","GAPDH"
"749","SI:DKEYP-100A1.6"
"750","CFAP45"
"751","SI:DKEY-108K21.21"
"752","ORG"
"753","LMAN1"
"754","LRRC59"
"755","CR735126.1"
"756","SI:CH211-250M6.8"
"757","ORC6"
"758","GRIN2DA"
"759","ITPK1A"
"760","GPX3"
"761","LHX1A"
"762","CLDNC"
"763","ALX1"
"764","PVRL3B"
"765","ZGC:136892"
"766","CCNE1"
"767","LBX2"
"768","SI:CH211-67E16.11"
"769","SH3YL1"
"770","ABHD10B"
"771","SI:DKEYP-114G9.1"
"772","AIF1L"
"773","MOB1BB"
"774","CYP24A1"
"775","CLU"
"776","VSX2"
"777","NKX6.1"
"778","FAM46BA"
"779","PODXL2"
"780","HAPLN1A"
"781","SI:CH211-133N4.4"
"782","CDC42EP3"
"783","HER6"
"784","ZGC:114041"
"785","KRT1-C5"
"786","BTG3"
"787","APOC2"
"788","AFF3"
"789","DYNC1LI1"
"790","SGUT1"
"791","SI:CH211-79K12.1"
"792","HOXA3A"
"793","SCAMP2L"
"794","DLEU7"
"795","PKIB"
"796","CYP11A1"
"797","BICC2"
"798","SI:CH73-119O17.1"
"799","ELL2"
"800","TMEM30B"
"801","APODB"
"802","BX927282.1"
"803","FOPNL"
"804","SOX4A"
"805","RX2"
"806","SI:RP71-77L1.1"
"807","PIK3R3B"
"808","SI:DKEY-43P13.5"
"809","SI:CH211-243G18.2"
"810","OCLNB"
"811","NOCTA"
"812","DBX1B"
"813","BOKB"
"814","PCDH1G30"
"815","FHL1A"
"816","WNT16"
"817","SI:CH211-199G17.2"
"818","ZGC:101744"
"819","FAM129AA"
"820","GRK5"
"821","FGF4"
"822","CBX8B"
"823","COL11A1A"
"824","ADIPOR1B"
"825","TSC1A"
"826","COL9A2"
"827","LHX2B"
"828","SI:CH211-137A8.2"
"829","POU4F1"
"830","CRABP2B"
"831","RBP5"
"832","KLHL18"
"833","CEBPD"
"834","SI:DKEY-54H16.1"
"835","GRHL1"
"836","ZNF326"
"837","SI:DKEY-73P2.3"
"838","TTC31"
"839","FAM129BB"
"840","SI:DKEY-205H13.2"
"841","LECT1"
"842","RASL11B"
"843","CKAP4"
"844","SI:DKEY-33C14.3"
"845","DUSP5"
"846","RDH8A"
"847","EDNRAB"
"848","FN1B"
"849","DLC"
"850","ZGC:111868"
"851","POU3F3B"
"852","RNF128A"
"853","ITSN2B"
"854","SI:DKEY-238C7.12"
"855","OTX2"
"856","DLL4"
"857","MLLT1B"
"858","SI:DKEYP-117H8.2"
"859","GDF6B"
"860","VWF"
"861","CLDNF"
"862","HBBE1.1"
"863","TLX3B"
"864","SEC61B"
"865","MEIS3"
"866","MICALL2B"
"867","HBBE3"
"868","PLIN5"
"869","HIP1RB"
"870","KLF2A"
"871","CTSLL"
"872","SSR2"
"873","KRT94"
"874","TNNC2"
"875","PLTP"
"876","CABP5A"
"877","CKBB"
"878","ATOH1A"
"879","HMGB3B"
"880","ARX"
"881","MID1IP1B"
"882","EGFL7"
"883","BSX"
"884","PCOLCEA"
"885","SI:DKEY-11F4.16"
"886","SI:DKEY-222F2.1"
"887","RTKN2A"
"888","SIX1B"
"889","TBX1"
"890","ARXA"
"891","ARFIP1"
"892","NES"
"893","IGF2B"
"894","CFAP73"
"895","NKX2.3"
"896","FEZF1"
"897","FMNL1A"
"898","CDH1"
"899","SOX19B"
"900","XKR9"
"901","BHMT"
"902","ZGC:66432"
"903","WASLB"
"904","ATP5G1"
"905","CNP"
"906","LOXHD1B"
"907","ZGC:92380"
"908","APLNRB"
"909","ZGC:113333"
"910","PLP2"
"911","CRB3B"
"912","STMN1B"
"913","GSX2"
"914","NPB"
"915","CDC34A"
"916","FOXE3"
"917","PHACTR2"
"918","LNX1"
"919","PDGFBB"
"920","SFMBT2"
"921","DDIT4"
"922","HOXD4A"
"923","FHDC3"
"924","HES2.2"
"925","MYLKB"
"926","FAM113"
"927","KNCN"
"928","S100A1"
"929","SFRP2"
"930","SI:CH211-101L18.8"
"931","FILIP1B"
"932","HBEGFA"
"933","PPP1R2"
"934","DAAM1A"
"935","ZGC:64022"
"936","ME3"
"937","MATN3B"
"938","GBX1"
"939","ZGC:194627"
"940","TMEM192"
"941","MOS"
"942","HNRNPA0B"
"943","GOLGA4"
"944","PLK2B"
"945","AIM1L"
"946","CNN2"
"947","ARHGAP30"
"948","TUBA1A"
"949","CHIA.4"
"950","IDH1"
"951","RGCC"
"952","LHX9"
"953","HER4.1"
"954","ZGC:92313"
"955","SI:CH211-220P4.1"
"956","INSM1A"
"957","PVALB9"
"958","PHOX2A"
"959","GCNT4A"
"960","SEC61G"
"961","ARPP21"
"962","TMEM131"
"963","CCL25B"
"964","MANF"
"965","VIM"
"966","SI:CH211-57B15.1"
"967","CNPY1"
"968","B4GALNT3B"
"969","SI:CH211-202F5.3"
"970","SI:CH211-166A6.5"
"971","OLFML2A"
"972","HEY1"
"973","UCK2A"
"974","UNCX4.1"
"975","COL5A3A"
"976","MCTP2B"
"977","KRT91"
"978","EZRB"
"979","MSX3"
"980","YWHAQA"
"981","SI:CH211-197G15.7"
"982","ZGC:66483"
"983","SPINT2"
"984","EGR4"
"985","CRYBA2B"
"986","PLCD1B"
"987","CEP131"
"988","SI:CH1073-406L10.2"
"989","FOXA3"
"990","JAM2B"
"991","HOXA9B"
"992","RAB11FIP1B"
"993","STMN2A"
"994","ZGC:153073"
"995","F2RL1.1"
"996","CTSZ"
"997","LRMP"
"998","TPX2"
"999","CDK8"
"1000","ANKRD22"
"1001","BTR02"
"1002","PVALB8"
"1003","KCTD15A"
"1004","SI:CH211-203C7.2"
"1005","SI:DKEY-206F10.5"
"1006","KLF6A"
"1007","SI:CH211-237L4.6"
"1008","BZW1B"
"1009","SIX4A"
"1010","SI:DKEY-19B23.12"
"1011","OTX1B"
"1012","ZGC:193711"
"1013","LMNL3"
"1014","GADD45GB.1"
"1015","SOD1"
"1016","ARL4AB"
"1017","DNAH10"
"1018","ZCCHC24"
"1019","CCDC117"
"1020","FAF2"
"1021","SI:DKEY-261M9.17"
"1022","EIF4EBP3L"
"1023","FOXO1A"
"1024","WNT7BA"
"1025","PAX3A"
"1026","SI:DKEYP-34C12.1"
"1027","ZBTB16A"
"1028","BTBD6A"
"1029","ADAM8A"
"1030","ZNF653"
"1031","MORN3"
"1032","SETD8B"
"1033","TBC1D10C"
"1034","SPNS3"
"1035","TNNI1C"
"1036","FOXF2A"
"1037","TPH1B"
"1038","DHRS3A"
"1039","HER11"
"1040","ATP1B1A"
"1041","BMP6"
"1042","STC1L"
"1043","MACC1"
"1044","YIPF1"
"1045","MGMT"
"1046","STK10"
"1047","SI:DKEY-108K21.14"
"1048","SI:DKEY-182M1.2"
"1049","ZNF750"
"1050","PTGS1"
"1051","SI:DKEY-211F22.5"
"1052","FGF24"
"1053","HOXB10A"
"1054","ANXA5B"
"1055","PLS3"
"1056","HOXB1A"
"1057","SI:DKEY-108K21.23"
"1058","MMP30"
"1059","ARHGAP27L"
"1060","BIRC5B"
"1061","CABZ01044297.1"
"1062","MPP7A"
"1063","RMND5B"
"1064","CLDN5A"
"1065","CSRP1A"
"1066","B2M"
"1067","P4HB"
"1068","ZC3H13"
"1069","CIARTA"
"1070","CA9"
"1071","RP2"
"1072","DLX4B"
"1073","SCINLA"
"1074","NIPAL4"
"1075","TBX2B"
"1076","PGK1"
"1077","CKAP2"
"1078","ADAMTS15A"
"1079","CCDC181"
"1080","CHP2"
"1081","SI:DKEY-30E9.6"
"1082","FAM49A"
"1083","SI:CH211-151H10.2"
"1084","SCYL3"
"1085","SLC14A2"
"1086","CACNA1FA"
"1087","PSKH2"
"1088","GDPD3A"
"1089","GRP"
"1090","YIPF5"
"1091","ITM2CB"
"1092","CDT1"
"1093","LRRC15"
"1094","MSX2B"
"1095","ZDHHC13"
"1096","ENG1B"
"1097","CAPN2B"
"1098","MKNK1"
"1099","SI:DKEY-261J4.3"
"1100","TMEM106A"
"1101","LDLRAD2"
"1102","DYNLL2A"
"1103","AFAP1L1A"
"1104","VEGFAA"
"1105","TRIP11"
"1106","MFSD4A"
"1107","UBE2G1A"
"1108","FP102169.1"
"1109","SLC43A2B"
"1110","COL9A3"
"1111","TMPRSS4A"
"1112","SI:DKEY-11O15.10"
"1113","CHMP4BA"
"1114","LAMA5"
"1115","BHLHE22"
"1116","ZGC:110340"
"1117","SOX2"
"1118","ANGPTL2A"
"1119","PALMDA"
"1120","FAM193A"
"1121","LHX4"
"1122","GSTM.1"
"1123","PBXIP1B"
"1124","RPGRA"
"1125","SI:CH211-137A8.4"
"1126","BCL2L12"
"1127","ATF3"
"1128","SEMA3B"
"1129","SST1.1"
"1130","TPM4A"
"1131","ZIC2A"
"1132","SI:DKEY-182G1.8"
"1133","MYH14"
"1134","APOBB.1"
"1135","RAB6BB"
"1136","HNF1BA"
"1137","ZGC:171775"
"1138","CNEP1R1"
"1139","DNAJB1B"
"1140","APELA"
"1141","MPZL2B"
"1142","TGFA"
"1143","VPS9D1"
"1144","TBX3A"
"1145","CLDN18"
"1146","STMN1A"
"1147","EPHB2B"
"1148","HNRNPA0L"
"1149","CGNB"
"1150","TGM5L"
"1151","APLP1"
"1152","HER15.1"
"1153","MSLNA"
"1154","TRAF3IP3"
"1155","NR2F2"
"1156","ZGC:153845"
"1157","SLC26A4"
"1158","ZGC:153952"
"1159","YPEL3"
"1160","HTRA1B"
"1161","PRDM13"
"1162","ZGC:111983"
"1163","CDC6"
"1164","SI:CH73-299H12.3"
"1165","CYSTM1"
"1166","TMED2"
"1167","ANP32E"
"1168","PHACTR3A"
"1169","SI:DKEY-88L16.5"
"1170","ELMO1"
"1171","JDP2B"
"1172","HSD20B2"
"1173","MIA3"
"1174","TNFAIP1"
"1175","LMTK3"
"1176","FAM19A5B"
"1177","ZGC:136410"
"1178","REEP2"
"1179","STC2A"
"1180","PELI3"
"1181","GALE"
"1182","TDP2B"
"1183","TNS2B"
"1184","CMTM6"
"1185","SLC30A8"
"1186","SOX1B"
"1187","ZCCHC7"
"1188","SIX1A"
"1189","ANXA1A"
"1190","EVA1BA"
"1191","SPTY2D1"
"1192","ABHD18"
"1193","MNX1"
"1194","HOXC8A"
"1195","SI:CH211-202P1.5"
"1196","PTMAA"
"1197","PIK3CD"
"1198","LOXL2A"
"1199","KAZALD2"
"1200","RHOQ"
"1201","RGS4"
"1202","SI:CH211-274P24.2"
"1203","SI:CH211-11C3.9"
"1204","PKDCCB"
"1205","BAZ1B"
"1206","PITX1"
"1207","TMEM198B"
"1208","HMGCS1"
"1209","FLI1A"
"1210","LSR"
"1211","ACKR3B"
"1212","SI:CH211-12P12.4"
"1213","STAT1B"
"1214","ZGC:55512"
"1215","NDR1"
"1216","SI:DKEY-17M8.1"
"1217","EMX2"
"1218","HOXD12A"
"1219","CCDC15"
"1220","OTX1A"
"1221","SI:CH211-260E23.9"
"1222","TGFBI"
"1223","NEFMA"
"1224","SYNPO2B"
"1225","ZGC:65851"
"1226","BMP16"
"1227","RTF1"
"1228","STK38L"
"1229","THBS3B"
"1230","CCDC151"
"1231","BMP2A"
"1232","ZGC:112980"
"1233","ELOVL6L"
"1234","EOMESA"
"1235","DAZL"
"1236","EPHA4A"
"1237","GPD1B"
"1238","CITED2"
"1239","CCDC64B"
"1240","GIG2O"
"1241","FOXB1B"
"1242","TNFB"
"1243","SI:DKEYP-46H3.8"
"1244","FMODA"
"1245","IRGM"
"1246","STX1B"
"1247","LRWD1"
"1248","ALYREF"
"1249","ZP3C"
